objid,u,g,r,i,z,class,ug,gr,ri,iz
1.23765e+18,19.47406,17.0424,15.94699,15.503420000000002,15.22531,STAR,2.431660000000001,1.095410000000001,0.4435699999999976,0.27811000000000163
1.23765e+18,18.6628,17.214489999999998,16.676370000000002,16.48922,16.3915,STAR,1.4483100000000029,0.5381199999999957,0.1871500000000026,0.09771999999999892
1.23765e+18,19.38298,18.191689999999998,17.47428,17.087320000000002,16.80125,GALAXY,1.1912900000000022,0.7174099999999974,0.3869599999999984,0.28607000000000227
1.23765e+18,17.76536,16.60272,16.16116,15.98233,15.904379999999998,STAR,1.1626399999999997,0.4415600000000026,0.1788299999999996,0.0779500000000013
1.23765e+18,17.55025,16.26342,16.43869,16.554920000000003,16.61326,STAR,1.2868299999999984,-0.17527000000000115,-0.11623000000000161,-0.058339999999997616
1.23765e+18,19.43133,18.46779,18.16451,18.01475,18.04155,STAR,0.9635399999999983,0.3032800000000009,0.14976000000000056,-0.02680000000000149
1.23765e+18,19.38322,17.88995,17.10537,16.66393,16.36955,GALAXY,1.4932700000000025,0.7845799999999983,0.44144000000000005,0.2943800000000003
1.23765e+18,18.97993,17.84496,17.38022,17.20673,17.070710000000002,STAR,1.1349699999999991,0.46473999999999904,0.17349000000000103,0.13601999999999848
1.23765e+18,17.90616,16.97172,16.67541,16.537760000000002,16.47596,STAR,0.9344399999999986,0.29631000000000185,0.13764999999999716,0.06180000000000163
1.23765e+18,18.67249,17.71375,17.49362,17.28284,17.22644,GALAXY,0.9587399999999988,0.22013000000000105,0.21077999999999975,0.056400000000000006
1.23765e+18,19.29772,17.80227,17.182660000000002,16.92335,16.79928,STAR,1.4954500000000017,0.619609999999998,0.2593100000000028,0.12406999999999968
1.23765e+18,18.833070000000003,17.51785,16.942729999999997,16.71418,16.60521,STAR,1.3152200000000036,0.5751200000000019,0.22854999999999848,0.10896999999999935
1.23765e+18,19.5625,18.191129999999998,17.65759,17.47573,17.39203,STAR,1.3713700000000024,0.5335399999999986,0.18186000000000035,0.08370000000000033
1.23765e+18,19.5799,17.72815,16.9874,16.68076,16.504260000000002,STAR,1.8517499999999991,0.7407499999999985,0.3066400000000016,0.17649999999999721
1.23765e+18,19.25667,17.54869,16.63578,16.14922,15.76639,GALAXY,1.7079799999999992,0.9129100000000001,0.48656000000000077,0.3828300000000002
1.23765e+18,19.05958,18.09512,17.92766,17.8927,17.90772,STAR,0.964459999999999,0.16746000000000194,0.034959999999998104,-0.015019999999999811
1.23765e+18,19.04397,17.51106,16.87335,16.61114,16.48303,STAR,1.532910000000001,0.637710000000002,0.2622099999999996,0.1281099999999995
1.23765e+18,17.81661,16.86976,16.53884,16.19576,16.086679999999998,GALAXY,0.9468500000000013,0.330919999999999,0.3430800000000005,0.10908000000000229
1.23765e+18,19.3932,18.48274,18.16551,18.05122,18.04328,STAR,0.9104600000000005,0.31722999999999857,0.11429000000000045,0.00794000000000139
1.23765e+18,17.51339,16.41793,16.06695,15.937510000000001,15.894779999999999,STAR,1.0954600000000028,0.35097999999999985,0.1294399999999971,0.04273000000000238
1.23765e+18,18.63032,17.234370000000002,16.72749,16.51772,16.44039,STAR,1.3959499999999991,0.5068800000000024,0.2097699999999989,0.0773299999999999
1.23765e+18,19.216839999999998,18.29956,18.19589,18.147579999999998,18.266579999999998,STAR,0.9172799999999981,0.10367000000000104,0.04831000000000074,-0.11899999999999977
1.23765e+18,19.4127,17.47109,16.4987,16.06502,15.668479999999999,GALAXY,1.9416100000000007,0.9723900000000008,0.43367999999999896,0.39654000000000167
1.23765e+18,18.485429999999997,17.339000000000002,16.90179,16.66712,16.48684,GALAXY,1.1464299999999952,0.4372100000000039,0.2346699999999977,0.18027999999999977
1.23765e+18,17.72835,16.19783,15.66073,15.51586,15.43615,STAR,1.5305199999999992,0.5371000000000006,0.14486999999999917,0.07971000000000039
